,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Rio Grande,BR,-32.03,-52.1,78.01,84,78,1.99,moderate rain
198,Kindu,CD,-2.95,25.95,70.54,98,100,2.35,moderate rain
199,Gwadar,PK,25.12,62.33,71.13,56,0,6.73,clear sky
200,Brae,GB,60.4,-1.35,46.4,75,95,12.75,overcast clouds
201,Dunedin,NZ,-45.87,170.5,57.99,62,77,20.0,broken clouds
202,Johi,PK,26.69,67.61,60.82,33,0,2.57,clear sky
203,Praia Da Vitoria,PT,38.73,-27.07,55.4,66,75,29.44,broken clouds
204,Plettenberg Bay,ZA,-34.05,23.37,59.72,84,54,5.12,broken clouds
205,Itambacuri,BR,-18.03,-41.69,67.95,91,30,3.89,scattered clouds
206,Durban,ZA,-29.86,31.03,73.4,88,75,6.93,broken clouds
207,Sechura,PE,-5.56,-80.82,71.89,66,29,16.33,scattered clouds
208,Termoli,IT,41.99,14.99,48.0,91,100,1.01,overcast clouds
209,Tura,IN,25.52,90.22,60.64,69,0,4.09,clear sky
210,Saskylakh,RU,71.92,114.08,12.92,94,91,12.28,overcast clouds
211,Teguldet,RU,57.31,88.17,8.78,93,0,5.97,clear sky
212,Port Hawkesbury,CA,45.62,-61.35,42.8,93,90,5.82,mist
213,Taltal,CL,-25.4,-70.48,65.79,65,22,4.68,few clouds
214,Fortuna,US,40.6,-124.16,59.0,68,92,1.99,overcast clouds
215,Namibe,AO,-15.2,12.15,71.51,77,88,2.93,overcast clouds
216,Bilma,NE,18.69,12.92,69.73,24,6,6.55,clear sky
217,Khandyga,RU,62.67,135.6,-27.2,85,0,1.72,clear sky
218,Anloga,GH,5.79,0.9,80.6,83,20,5.82,few clouds
219,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,75.81,94,83,2.53,light rain
220,Birao,CF,10.28,22.79,70.47,29,0,5.28,clear sky
221,Lazaro Cardenas,MX,17.96,-102.2,81.34,73,0,6.82,clear sky
222,Pisco,PE,-13.7,-76.22,69.8,73,0,18.34,clear sky
223,Serpa,PT,37.95,-7.6,48.2,100,40,6.93,scattered clouds
224,Santa Cruz,BO,-17.8,-63.17,87.8,55,75,17.22,broken clouds
225,Gravdal,NO,68.12,13.5,45.57,81,71,27.78,light rain
226,Namtsy,RU,62.72,129.67,-25.6,74,14,1.05,mist
227,Kaitangata,NZ,-46.28,169.85,60.01,46,61,8.99,broken clouds
228,Ciudad Guayana,VE,8.35,-62.65,77.05,87,47,6.38,light rain
229,Sangar,RU,63.92,127.47,-20.22,88,48,2.13,scattered clouds
230,Olinda,BR,-8.01,-34.86,78.8,65,40,11.41,scattered clouds
231,Cedros,HN,14.6,-87.12,84.2,51,20,11.41,few clouds
232,Yatou,CN,37.15,122.38,30.97,93,57,6.49,broken clouds
233,Ternate,ID,0.8,127.4,80.8,77,100,2.48,overcast clouds
234,Kropotkin,RU,45.44,40.58,36.79,78,0,6.69,clear sky
235,Oktyabrskiy,RU,54.48,53.47,21.09,97,98,3.8,overcast clouds
236,Shiraz,IR,29.6,52.54,48.2,100,75,1.72,broken clouds
237,Omsukchan,RU,62.53,155.8,-12.5,86,91,4.5,overcast clouds
238,Marzuq,YE,14.4,46.47,61.74,83,2,4.36,clear sky
239,Sayhat,SA,26.49,50.04,75.2,64,75,17.22,broken clouds
240,Victoria,HK,22.29,114.16,64.99,68,0,9.57,clear sky
241,Puerto Ayacucho,VE,5.66,-67.62,75.83,94,100,2.33,light rain
242,Haines City,US,28.11,-81.62,78.01,57,40,5.82,scattered clouds
243,Atherton,GB,53.52,-2.49,48.0,84,92,1.99,overcast clouds
244,Sarh,TD,9.14,18.39,73.4,69,0,2.84,clear sky
245,Srednekolymsk,RU,67.45,153.68,-8.91,90,91,5.35,overcast clouds
246,Abbeville,FR,50.1,1.83,44.6,87,0,6.93,clear sky
247,Scarborough,GB,54.28,-0.4,46.99,92,100,10.58,overcast clouds
248,Boa Vista,BR,2.82,-60.67,86.0,66,75,5.82,light rain
249,Lavrentiya,RU,65.58,-171.0,19.72,93,75,18.07,broken clouds
250,Kitsuki,JP,33.42,131.62,46.4,65,75,2.24,broken clouds
251,Panambi,BR,-28.29,-53.5,78.08,66,76,12.39,broken clouds
252,Sabang,ID,5.89,95.32,79.47,78,99,7.74,moderate rain
253,Mezen,RU,65.85,44.24,17.38,96,73,9.08,broken clouds
254,Chapais,CA,49.78,-74.85,30.2,92,90,8.05,light snow
255,Cabo San Lucas,MX,22.89,-109.91,80.01,73,40,8.05,scattered clouds
256,Porosozero,RU,62.72,32.73,25.34,96,99,4.52,overcast clouds
257,Hambantota,LK,6.12,81.12,76.12,86,92,5.68,overcast clouds
258,Iberia,US,29.95,-91.75,64.4,100,90,4.7,mist
259,Salinopolis,BR,-0.61,-47.36,80.56,82,88,10.71,light rain
260,Luderitz,NA,-26.65,15.16,62.6,72,0,18.34,clear sky
261,Kaduy,RU,59.2,37.15,22.23,97,93,6.96,overcast clouds
262,Machilipatnam,IN,16.17,81.13,74.37,86,77,11.88,broken clouds
263,Matou,CN,29.83,115.58,41.65,83,96,0.94,overcast clouds
264,Dharchula,IN,29.85,80.53,51.15,33,5,5.97,clear sky
265,Axim,GH,4.87,-2.24,78.62,85,18,4.41,few clouds
266,Shimoda,JP,34.67,138.95,45.0,76,100,1.01,overcast clouds
267,Sur,OM,22.57,59.53,71.47,58,0,6.42,clear sky
268,Chokurdakh,RU,70.63,147.92,-5.69,92,100,7.25,overcast clouds
269,Lucapa,AO,-8.42,20.74,66.16,97,100,1.99,overcast clouds
270,Qaqortoq,GL,60.72,-46.03,33.8,74,100,8.05,light snow
271,Aklavik,CA,68.22,-135.01,-4.0,83,98,5.82,overcast clouds
272,Alta Floresta,BR,-9.88,-56.09,76.5,78,53,0.4,light rain
273,Brusyliv,UA,50.28,29.53,32.0,100,94,4.47,mist
274,La Peca,PE,-5.61,-78.44,74.1,71,78,2.93,light rain
275,North Bend,US,43.41,-124.22,57.2,67,1,3.36,clear sky
276,Liverpool,GB,53.41,-2.98,48.2,93,87,5.82,mist
277,Oksfjord,NO,70.24,22.35,37.4,69,100,18.34,light rain
278,Dalton,US,34.77,-84.97,55.99,72,30,6.15,scattered clouds
279,Yairipok,IN,24.67,94.07,53.31,85,0,0.83,clear sky
280,Synya,RU,65.37,58.04,9.82,95,98,8.72,overcast clouds
281,Necochea,AR,-38.55,-58.74,64.0,80,73,7.25,broken clouds
282,Grindavik,IS,63.84,-22.43,35.6,93,75,14.99,shower rain
283,Butaritari,KI,3.07,172.79,81.79,82,8,15.28,light rain
284,Itoman,JP,26.12,127.67,68.0,56,75,16.11,broken clouds
285,Ures,MX,29.43,-110.4,79.0,14,0,4.0,clear sky
286,Santa Vitoria Do Palmar,BR,-33.52,-53.37,71.42,91,76,11.74,heavy intensity rain
287,Libano,CO,4.92,-75.06,64.38,89,81,1.57,broken clouds
288,Drumheller,CA,51.46,-112.71,30.2,68,56,6.93,broken clouds
289,Port Augusta,AU,-32.5,137.77,64.4,52,75,16.11,broken clouds
290,Tabuk,PH,17.42,121.44,71.83,87,100,7.16,overcast clouds
291,Necaxa,MX,20.22,-98.0,67.66,80,3,3.62,clear sky
292,Veraval,IN,20.9,70.37,76.55,36,0,16.51,clear sky
293,Lagoa,PT,39.05,-27.98,56.57,71,88,28.83,light rain
294,Sitka,US,57.05,-135.33,46.4,87,90,23.04,moderate rain
295,Nome,US,64.5,-165.41,19.4,67,75,16.11,broken clouds
296,Ukiah,US,39.15,-123.21,66.0,23,1,1.39,clear sky
297,Gorontalo,ID,0.54,123.06,78.76,83,100,2.48,overcast clouds
298,San Borja,BO,-14.82,-66.85,78.96,81,80,1.95,light rain
299,Odweyne,SO,9.41,45.06,67.77,69,41,0.67,scattered clouds
300,Mount Gambier,AU,-37.83,140.77,59.0,72,40,17.22,scattered clouds
301,Ntcheu,MW,-14.82,34.64,69.93,67,71,3.24,broken clouds
302,Manavgat,TR,36.79,31.44,57.0,62,0,9.17,clear sky
303,Port Blair,IN,11.67,92.75,80.71,79,98,15.41,heavy intensity rain
304,Novaya Bryan,RU,51.72,108.27,3.2,84,40,2.24,scattered clouds
305,Vestmannaeyjar,IS,63.44,-20.27,40.05,92,100,27.09,overcast clouds
306,Yelizovo,RU,53.19,158.38,10.4,85,20,6.71,shower rain
307,Deer Lake,CA,49.17,-57.43,39.2,93,90,5.82,overcast clouds
308,Bogorodskoye,RU,56.55,37.88,30.49,99,94,7.16,overcast clouds
309,Gibara,CU,21.11,-76.13,80.6,69,20,11.41,few clouds
310,Birjand,IR,32.87,59.22,53.6,27,75,11.41,broken clouds
311,Nouadhibou,MR,20.93,-17.03,66.2,77,0,9.17,clear sky
312,Jinchang,CN,38.5,102.17,21.76,83,16,0.83,few clouds
313,Williston,US,48.15,-103.62,43.0,58,92,5.01,overcast clouds
314,Henties Bay,NA,-22.12,14.28,59.0,87,0,1.99,clear sky
315,Krasnogvardeyskoye,RU,45.85,41.52,37.85,92,0,9.93,clear sky
316,Honjo,JP,36.23,139.18,46.0,56,95,3.0,overcast clouds
317,Saldanha,ZA,-33.01,17.94,60.8,72,0,14.99,clear sky
318,Kirksville,US,40.19,-92.58,54.0,62,1,11.41,clear sky
319,Scottsbluff,US,41.87,-103.67,57.2,19,1,6.93,clear sky
320,Oum Hadjer,TD,13.3,19.7,74.79,20,0,8.61,clear sky
321,Kavieng,PG,-2.57,150.8,84.63,76,90,11.63,light rain
322,Faya,SA,18.39,42.45,59.0,82,0,3.47,clear sky
323,Nobres,BR,-14.72,-56.33,82.9,49,24,3.09,few clouds
324,Mehamn,NO,71.04,27.85,37.2,84,100,20.54,light rain
325,Ust-Tsilma,RU,65.44,52.15,15.04,95,78,5.3,broken clouds
326,Rorvik,NO,64.86,11.24,41.0,71,35,18.57,scattered clouds
327,Sola,VU,-13.88,167.55,79.97,84,86,15.84,moderate rain
328,Tahta,EG,26.77,31.5,57.2,58,0,2.24,clear sky
329,Tasiilaq,GL,65.61,-37.64,19.4,57,2,17.22,clear sky
330,Vestmanna,FO,62.16,-7.17,42.8,75,34,10.29,scattered clouds
331,Alofi,NU,-19.06,-169.92,82.4,78,100,9.17,overcast clouds
332,Picui,BR,-6.51,-36.35,73.36,70,22,22.95,few clouds
333,Mora,CM,11.05,14.14,66.67,26,40,3.29,scattered clouds
334,Myaundzha,RU,63.05,147.19,-11.9,85,69,2.62,broken clouds
335,Marevo,RU,57.31,32.08,33.22,92,99,4.47,overcast clouds
336,Yuzhnyy,RU,53.25,83.69,14.0,72,0,6.71,clear sky
337,Tiksi,RU,71.69,128.87,-1.98,91,54,9.69,broken clouds
338,General Pico,AR,-35.66,-63.76,81.27,34,0,4.85,clear sky
339,Kovernino,RU,57.13,43.81,27.1,98,98,11.45,snow
340,Phuket,TH,8.0,98.25,77.0,83,40,4.7,scattered clouds
341,Jawa,JO,31.85,35.94,51.8,87,22,7.05,mist
342,Kungurtug,RU,50.6,97.52,-2.18,84,2,0.92,clear sky
343,Sorland,NO,67.67,12.69,45.81,84,85,28.34,overcast clouds
344,Arandis,NA,-22.42,14.97,59.0,87,33,1.99,scattered clouds
345,Xinglongshan,CN,43.96,125.47,1.4,84,100,4.47,mist
346,Yerbogachen,RU,61.28,108.01,-12.6,89,75,4.18,broken clouds
347,Lima,PE,-12.04,-77.03,66.0,82,90,16.11,overcast clouds
348,Valparaiso,CL,-33.04,-71.63,71.6,45,0,16.11,clear sky
349,Kabanjahe,ID,3.1,98.49,75.2,100,40,2.24,scattered clouds
350,Coihaique,CL,-45.58,-72.07,51.8,43,40,5.82,shower rain
351,Severo-Yeniseyskiy,RU,60.37,93.04,9.34,92,100,2.84,overcast clouds
352,Ostrovnoy,RU,68.05,39.51,29.41,95,68,32.08,broken clouds
353,Talara,PE,-4.58,-81.27,67.1,84,36,13.27,scattered clouds
354,Tual,ID,-5.67,132.75,84.24,69,94,7.52,overcast clouds
355,Porbandar,IN,21.64,69.61,72.43,37,0,13.87,clear sky
356,Kirovskiy,RU,45.09,133.51,5.65,92,13,2.51,few clouds
357,Comodoro Rivadavia,AR,-45.87,-67.5,64.4,22,40,20.8,scattered clouds
358,Bonavista,CA,48.65,-53.11,46.4,100,97,3.36,overcast clouds
359,Iralaya,HN,15.0,-83.23,79.12,82,0,8.25,clear sky
360,Soni,TZ,-4.85,38.37,62.44,99,95,1.97,overcast clouds
361,Halifax,CA,44.65,-63.57,45.0,100,90,5.82,overcast clouds
362,Vao,NC,-22.67,167.48,73.18,66,6,9.15,clear sky
